Model,Type,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Inference_Speed_rows_per_sec,Model_Size_MB,Stack_Level,Num_Models
WeightedEnsemble_L4,AutoML,0.9434,TBD,TBD,TBD,TBD,1299,9237.63,4,42
LightGBM_Tuned,Manual,0.7947,0.7587,0.6413,0.4129,0.5024,~5000,<10,1,1
XGBoost_Tuned,Manual,0.7896,0.7565,0.6280,0.4288,0.5096,~4000,<10,1,1
LightGBM_Default,Manual,0.7882,0.7557,0.6330,0.4091,0.4970,~5000,<10,1,1
XGBoost_Default,Manual,0.7843,0.7539,0.6265,0.4103,0.4958,~4000,<10,1,1
RandomForest_Entropy,Manual,0.7746,0.7529,0.6055,0.4658,0.5266,~3000,<10,1,1
RandomForest_Gini,Manual,0.7742,0.7536,0.6071,0.4670,0.5279,~3000,<10,1,1
ExtraTrees,Manual,0.7548,0.7416,0.5655,0.5365,0.5506,~2500,<10,1,1
LogisticRegression,Manual,0.7358,0.7090,0.5056,0.6109,0.5533,~10000,<5,1,1
