feature,importance
VISITMO,16
VISITDAY,10
VISITYR,134
BIRTHMO,29
BIRTHYR,113
SEX,18
HISPANIC,11
HISPOR,32
RACE,28
RACESEC,11
RACETER,0
PRIMLANG,14
EDUC,146
MARISTAT,22
NACCLIVS,17
INDEPEND,93
RESIDENC,24
HANDED,8
NACCAGE,386
NACCAGEB,340
NACCNIHR,19
INBIRMO,60
INBIRYR,80
INSEX,58
INHISP,10
INHISPOR,3
INRACE,4
INRASEC,0
INRATER,0
INEDUC,88
INRELTO,32
INKNOWN,13
INLIVWTH,8
INVISITS,8
INCALLS,20
INRELY,8
NACCNINR,32
TOBAC30,2
TOBAC100,4
SMOKYRS,20
PACKSPER,16
QUITSMOK,29
ALCOCCAS,0
ALCFREQ,2
CVHATT,10
HATTMULT,0
HATTYEAR,1
CVAFIB,5
CVANGIO,9
CVBYPASS,7
CVPACDEF,0
CVPACE,1
CVCHF,9
CVANGINA,1
CVHVALVE,1
CVOTHR,22
CBSTROKE,3
STROKMUL,0
NACCSTYR,15
CBTIA,10
TIAMULT,0
NACCTIYR,6
PD,2
PDYR,17
PDOTHR,2
PDOTHRYR,24
SEIZURES,6
TBI,1
TBIBRIEF,0
TRAUMBRF,13
TBIEXTEN,0
TRAUMEXT,2
TBIWOLOS,0
TRAUMCHR,0
TBIYEAR,2
NCOTHR,9
DIABETES,8
DIABTYPE,3
HYPERTEN,32
HYPERCHO,56
B12DEF,3
THYROID,11
ARTHRIT,7
ARTHTYPE,3
ARTHUPEX,4
ARTHLOEX,0
ARTHSPIN,0
ARTHUNK,0
INCONTU,18
INCONTF,22
APNEA,1
RBD,6
INSOMN,1
OTHSLEEP,2
ALCOHOL,5
ABUSOTHR,1
VISION,43
VISCORR,7
VISWCORR,18
HEARING,49
HEARAID,6
HEARWAID,9
BILLS,48
TAXES,54
SHOPPING,46
GAMES,68
STOVE,41
MEALPREP,41
EVENTS,48
PAYATTN,78
REMDATES,82
TRAVEL,33
